# Beta-delayed neutron emission probabilities dataset.
# Code: BeoH [3.5.0]
# Each row indicates data for an individual nucleus with proton number (Z), neutron number (N) and atomic mass (A).
# The middle columns give the j-neutron emission probabilities denoted by Pjn.
# The third to last column denotes the average neutron emission energy, <E_n>, in MeV.
# The second to last column denotes the neutron multiplicity after beta-decay, <n>.
# The last column denotes whether AME2012 masses (1) or FRDM2012 masses (0) were used.
#
#   Z   N  A  P0n  P1n  P2n  P3n  P4n  P5n  P6n  P7n  P8n  P9n  P10n <E_n> <n>  exp
# =================================================================================
  9  28  37 0.00 0.03 0.09 0.17 0.10 0.36 0.05 0.18 0.01 0.01 0.00 2.14 4.65   0
  9  29  38 0.00 0.01 0.03 0.05 0.16 0.08 0.38 0.05 0.21 0.01 0.02 2.26 5.86   0
  9  30  39 0.00 0.00 0.01 0.02 0.04 0.14 0.08 0.37 0.05 0.25 0.04 2.39 7.06   0
  9  31  40 0.00 0.00 0.00 0.01 0.03 0.04 0.15 0.07 0.38 0.05 0.27 2.42 7.93   0
  9  32  41 0.00 0.00 0.01 0.01 0.01 0.03 0.05 0.16 0.08 0.36 0.29 2.46 8.44   0
  9  33  42 0.00 0.00 0.00 0.01 0.00 0.01 0.03 0.04 0.14 0.07 0.70 2.61 9.29   0
  9  34  43 0.00 0.00 0.00 0.00 0.01 0.01 0.01 0.03 0.04 0.15 0.75 2.66 9.53   0
  9  35  44 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.02 0.03 0.94 2.86 9.90   0
  9  36  45 0.00 0.01 0.00 0.00 0.01 0.00 0.02 0.01 0.02 0.04 0.89 2.67 9.66   0
  9  37  46 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.01 0.01 0.02 0.95 2.86 9.88   0
 10  13  23 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
 10  14  24 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
 10  15  25 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
